"Unnamed..0","Company","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price","Ram_Numeric"
30,"Chuwi","Notebook","15.6","Full HD 1920x1080","Intel Atom x5-Z8300 1.44GHz","4GB","64GB Flash Storage","Intel HD Graphics","Windows 10","1.89kg",13053.0672,4
31,"Asus","Notebook","14","1366x768","AMD E-Series E2-6110 1.5GHz","2GB","32GB Flash Storage","AMD Radeon R2","Windows 10","1.65kg",10602.72,2
32,"HP","Notebook","17.3","Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","500GB HDD","AMD Radeon 530","Windows 10","2.71kg",23389.92,4
33,"Dell","Ultrabook","13.3","Touchscreen / Quad HD+ 3200x1800","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.2kg",99580.32,16
34,"Apple","Ultrabook","13.3","1440x900","Intel Core i5 1.6GHz","8GB","256GB Flash Storage","Intel HD Graphics 6000","Mac OS X","1.35kg",53173.44,8
35,"Lenovo","Notebook","14","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","64GB Flash Storage","Intel HD Graphics 500","Windows 10","1.44kg",13266.72,4
36,"Acer","Notebook","15.6","1366x768","Intel Core i3 7130U 2.7GHz","4GB","1TB HDD","Intel HD Graphics 620","Linux","2.1kg",19553.76,4
37,"Dell","Notebook","17.3","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10","2.8kg",52161.12,8
38,"HP","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.86kg",26037.4032,4
39,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Nvidia GeForce 930MX ","Windows 10","2.1kg",46833.12,8
40,"Asus","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 620","Linux","2kg",20725.92,4
41,"Dell","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.65kg",79866.72,16
42,"Asus","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Nvidia GeForce 940MX","Linux","2.3kg",27864.9072,8
43,"Acer","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","Intel UHD Graphics 620","Windows 10","2.2kg",36336.96,4
44,"Dell","2 in 1 Convertible","17.3","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","12GB","1TB HDD","Nvidia GeForce 150MX","Windows 10","2.77kg",53226.72,12
45,"Apple","Ultrabook","13.3","IPS Panel Retina Display 2560x1600","Intel Core i5 2.0GHz","8GB","256GB SSD","Intel Iris Graphics 540","macOS","1.37kg",75604.32,8
47,"Asus","Gaming","17.3","Full HD 1920x1080","AMD Ryzen 1700 3GHz","8GB","256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows 10","3.2kg",69210.72,8
48,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","AMD Radeon R5 M430","Windows 10","2.3kg",34045.92,4
49,"Asus","Notebook","17.3","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows 10","2.8kg",24828.48,4
51,"Acer","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce MX150","Windows 10","2.2kg",44808.48,8
52,"HP","Notebook","15.6","Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","256GB SSD","AMD Radeon R4 Graphics","Windows 10","1.86kg",21231.5472,4
53,"HP","Notebook","13.3","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.49kg",58767.84,8
54,"Acer","Notebook","15.6","1366x768","Intel Core i3 7100U 2.4GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.4kg",20459.52,4
55,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 520","Windows 10","2.13kg",40908.384,8
56,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.91kg",23389.92,4
57,"Asus","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","2kg",31232.2032,4
58,"MSI","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  2TB HDD","Nvidia GeForce GTX 1070","Windows 10","2.43kg",130482.72,16
59,"Asus","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","Intel HD Graphics 520","Linux","2kg",22111.2,4
60,"Dell","Notebook","17.3","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10","2.8kg",69210.72,16
61,"Dell","Ultrabook","14","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.7kg",46833.12,8
62,"Lenovo","Notebook","14","IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","No OS","1.7kg",31914.72,8
63,"Asus","Notebook","14","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.4kg",50136.48,8
64,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.86kg",36763.2,8
65,"Asus","Ultrabook","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10","1.8kg",105654.24,16
66,"HP","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","AMD Radeon 520","Windows 10","1.86kg",23373.4032,4
67,"HP","Notebook","14","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","32GB SSD","Intel HD Graphics 400","Windows 10","1.44kg",12201.12,4
68,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.9kg",29250.72,4
69,"Asus","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","1TB HDD","Nvidia GeForce GTX 1050 Ti","Linux","3kg",50562.72,12
70,"Microsoft","Ultrabook","13.5","Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10 S","1.252kg",58021.92,4
71,"Dell","Ultrabook","13.3","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","64GB","256GB SSD","AMD Radeon 530","Windows 10","1.4kg",50882.4,64
72,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","2.2kg",46353.6,8
73,"MSI","Gaming","17.3","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.7kg",58341.6,8
74,"Acer","Notebook","14","1366x768","Intel Core i3 6006U 2GHz","8GB","1TB HDD","Intel HD Graphics 520","Windows 10","2.1kg",20725.92,8
75,"Asus","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",50562.72,8
76,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","2TB HDD","Intel HD Graphics 620","No OS","2.2kg",27652.32,8
77,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","128GB SSD +  1TB HDD","Intel UHD Graphics 620","Windows 10","2.02kg",45554.4,8
78,"Acer","Notebook","15.6","Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","1TB HDD","Nvidia GeForce MX130","Windows 10","2.2kg",28238.4,4
79,"HP","Notebook","17.3","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 930MX","Windows 10","2.5kg",52054.56,8
80,"Dell","Ultrabook","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.88kg",58403.4048,8
81,"Apple","Ultrabook","12","IPS Panel Retina Display 2304x1440","Intel Core i5 1.3GHz","8GB","512GB SSD","Intel HD Graphics 615","macOS","0.92kg",80452.8,8
82,"HP","Notebook","14","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.63kg",45820.8,8
83,"Lenovo","Notebook","15.6","Full HD 1920x1080","AMD A6-Series 9220 2.5GHz","4GB","128GB SSD","AMD R4 Graphics","Windows 10","2.2kg",21258.72,4
84,"Acer","Notebook","15.6","1366x768","AMD A9-Series 9420 3GHz","4GB","1TB HDD","AMD Radeon R5","Windows 10","2.1kg",21045.6,4
85,"Dell","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.65kg",71874.72,16
86,"HP","Ultrabook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 940MX","Windows 10","1.83kg",37242.72,8
87,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.96kg",31914.1872,8
88,"Asus","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.2kg",77202.72,16
89,"Dell","Ultrabook","13.3","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.21kg",87858.72,8
90,"Asus","Gaming","15.6","Full HD 1920x1080","AMD FX 9830P 3GHz","8GB","1TB HDD","AMD Radeon RX 560","Windows 10","2.45kg",37242.72,8
91,"Acer","Notebook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","2GB","1TB HDD","Nvidia GeForce MX150","Windows 10","2.2kg",36709.92,2
92,"HP","Notebook","13.3","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.49kg",63776.16,16
93,"Dell","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1060","Windows 10","2.65kg",63669.6,8
94,"Asus","Ultrabook","14","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.25kg",55890.72,8
95,"Acer","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.5kg",45128.16,8
96,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","AMD Radeon R5 M430","Linux","2.2kg",31962.672,8
97,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 M430","Linux","2.2kg",25840.8,4
98,"Asus","Notebook","15.6","Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","6GB","256GB SSD","Nvidia GeForce 920M","Windows 10","2kg",30742.56,6
99,"HP","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.62kg",66546.72,12
100,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","1.91kg",38308.32,8
101,"HP","Notebook","15.6","Full HD 1920x1080","AMD E-Series E2-9000e 1.5GHz","4GB","500GB HDD","AMD Radeon R2","Windows 10","2.1kg",18594.72,4
102,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","AMD Radeon 520","Linux","2.2kg",34472.16,8
103,"HP","Ultrabook","13.3","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce MX150","Windows 10","1.38kg",59620.32,8
104,"Microsoft","Ultrabook","13.5","Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10 S","1.252kg",71395.2,8
105,"HP","Notebook","14","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","6GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.58kg",35111.52,6
106,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","1.85kg",22105.872,4
107,"Asus","Ultrabook","14","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.3kg",63563.04,8
108,"MSI","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.2kg",69210.72,16
109,"Lenovo","Notebook","14","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.58kg",78854.4,8
110,"Asus","Ultrabook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce MX150","Windows 10","1.5kg",67239.36,16
111,"Dell","Ultrabook","13.3","Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7560U 2.4GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","Windows 10","1.23kg",73473.12,8
112,"Lenovo","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.37kg",74538.72,8
113,"HP","Notebook","14","IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz","4GB","500GB HDD","Intel UHD Graphics 620","Windows 10","1.63kg",38468.16,4
114,"Dell","Ultrabook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.21kg",86793.12,8
116,"HP","Notebook","14","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.63kg",57755.52,8
117,"Dell","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10","2.16kg",60223.9824,8
118,"Asus","Notebook","17.3","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows 10","2kg",30049.92,4
119,"Asus","Notebook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.7kg",59567.04,8
120,"Acer","Notebook","15.6","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz","6GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.1kg",25521.12,6
121,"MSI","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  2TB HDD","Nvidia GeForce GTX 1070","Windows 10","1.8kg",119427.12,16
122,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 940MX","No OS","2.2kg",33513.12,8
123,"HP","Notebook","17.3","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Nvidia GeForce 930MX ","Windows 10","2.5kg",67718.88,16
124,"Acer","Notebook","15.6","1366x768","AMD A9-Series 9420 3GHz","4GB","256GB SSD","AMD Radeon R5","Windows 10","2.1kg",24029.28,4
126,"HP","Notebook","14","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows 10","1.63kg",43263.36,8
127,"Asus","Notebook","14","1366x768","AMD E-Series 6110 1.5GHz","4GB","64GB SSD","AMD Radeon R2","Windows 10 S","1.65kg",14811.3072,4
128,"Dell","Notebook","17.3","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10","2.8kg",74378.88,16
129,"HP","Notebook","17.3","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","2.5kg",49443.84,8
130,"Dell","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","AMD Radeon R7 M445","Windows 10","2.36kg",34045.3872,8
131,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","AMD Radeon R5 M430","Windows 10","2.2kg",23922.72,4
132,"Acer","Ultrabook","14","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.6kg",47099.52,8
133,"Acer","Notebook","15.6","Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","256GB SSD","Nvidia GeForce MX130","Windows 10","7.2kg",30476.16,4
134,"HP","Notebook","15.6","1366x768","Intel Core i7 7500U 2.7GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.05kg",31861.44,8
135,"HP","Notebook","14","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.63kg",52640.64,8
136,"Lenovo","Notebook","15.6","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","No OS","1.9kg",13445.7408,4
137,"Asus","Gaming","17.3","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","3kg",49976.64,8
138,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Nvidia GeForce 920MX","No OS","2.2kg",26586.72,4
139,"HP","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.32kg",37242.72,4
140,"Acer","Notebook","17.3","IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","1TB HDD","Nvidia GeForce MX130","Windows 10","3kg",34898.4,4
141,"Lenovo","Notebook","14","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","AMD Radeon RX 550","Windows 10","1.75kg",59461.5456,8
142,"Lenovo","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050M","No OS","2.4kg",46300.32,8
143,"Toshiba","Notebook","15.6","1366x768","Intel Core i5 6200U 2.3GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.1kg",32074.56,4
144,"HP","Notebook","15.6","1366x768","AMD A6-Series 9220 2.5GHz","4GB","256GB SSD","AMD Radeon R4 Graphics","Windows 10","1.86kg",19660.32,4
145,"Asus","Ultrabook","14","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.25kg",58554.72,8
146,"HP","Ultrabook","12.5","IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core M 6Y75 1.2GHz","8GB","512GB SSD","Intel HD Graphics 515","Windows 10","0.97kg",107305.92,8
147,"Asus","Notebook","15.6","Full HD 1920x1080","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","Windows 10","2kg",18328.32,4
149,"Acer","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","2.1kg",23816.16,4
150,"Dell","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.56kg",66560.5728,16
151,"Dell","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1.0TB Hybrid","Nvidia GeForce GTX 1050","Windows 10","2.62kg",47898.72,8
152,"Lenovo","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.9kg",26533.44,4
153,"MSI","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.8kg",100699.2,16
154,"HP","Ultrabook","14","Full HD 1920x1080","Intel Core i5 7500U 2.7GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.48kg",57648.96,4
155,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","6GB","256GB SSD","AMD Radeon 520","Windows 10","1.91kg",32980.32,6
156,"Lenovo","2 in 1 Convertible","14","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.74kg",33513.12,4
